M_solar,M_kg,r_s_m,T_H_K,S_BH,S_GoE,C_BH,C_GoE
1.000000e+06,1.988470e+36,2.953339e+09,6.170074e-14,1.048955e+89,8.198358e+88,-6.933774e+45,-1.816141e+47
1.264855e+06,2.515127e+36,3.735547e+09,4.878087e-14,1.678180e+89,1.311621e+89,-1.109306e+46,-2.905569e+47
1.599859e+06,3.181271e+36,4.724926e+09,3.856637e-14,2.684850e+89,2.098409e+89,-1.774733e+46,-4.648500e+47
2.023590e+06,4.023847e+36,5.976347e+09,3.049074e-14,4.295381e+89,3.357158e+89,-2.839322e+46,-7.436944e+47
2.559548e+06,5.089584e+36,7.559214e+09,2.410611e-14,6.872003e+89,5.370978e+89,-4.542514e+46,-1.189806e+48
3.237458e+06,6.437587e+36,9.561311e+09,1.905839e-14,1.099423e+90,8.592806e+89,-7.267380e+46,-1.903521e+48
4.094915e+06,8.142616e+36,1.209367e+10,1.506765e-14,1.758922e+90,1.374728e+90,-1.162678e+47,-3.045365e+48
5.179475e+06,1.029923e+37,1.529675e+10,1.191255e-14,2.814027e+90,2.199370e+90,-1.860121e+47,-4.872154e+48
6.551286e+06,1.302703e+37,1.934817e+10,9.418112e-15,4.502045e+90,3.518681e+90,-2.975930e+47,-7.794758e+48
8.286428e+06,1.647731e+37,2.447263e+10,7.446000e-15,7.202637e+90,5.629393e+90,-4.761068e+47,-1.247051e+49
1.048113e+07,2.084142e+37,3.095434e+10,5.886840e-15,1.152320e+91,9.006233e+90,-7.617036e+47,-1.995106e+49
1.325711e+07,2.636137e+37,3.915276e+10,4.654161e-15,1.843549e+91,1.440870e+91,-1.218618e+48,-3.191887e+49
1.676833e+07,3.334332e+37,4.952257e+10,3.679600e-15,2.949419e+91,2.305189e+91,-1.949617e+48,-5.106569e+49
2.120951e+07,4.217447e+37,6.263888e+10,2.909107e-15,4.718653e+91,3.687976e+91,-3.119112e+48,-8.169788e+49
2.682696e+07,5.334460e+37,7.922911e+10,2.299953e-15,7.549178e+91,5.900241e+91,-4.990138e+48,-1.307051e+50
3.393222e+07,6.747320e+37,1.002134e+11,1.818353e-15,1.207762e+92,9.439551e+91,-7.983516e+48,-2.091097e+50
4.291934e+07,8.534383e+37,1.267554e+11,1.437597e-15,1.932248e+92,1.510195e+92,-1.277250e+49,-3.345459e+50
5.428675e+07,1.079476e+38,1.603272e+11,1.136571e-15,3.091324e+92,2.416098e+92,-2.043419e+49,-5.352262e+50
6.866488e+07,1.365381e+38,2.027907e+11,8.985778e-16,4.945682e+92,3.865416e+92,-3.269182e+49,-8.562863e+50
8.685114e+07,1.727009e+38,2.565009e+11,7.104195e-16,7.912393e+92,6.184120e+92,-5.230229e+49,-1.369937e+51
1.098541e+08,2.184416e+38,3.244365e+11,5.616607e-16,1.265871e+93,9.893718e+92,-8.367628e+49,-2.191706e+51
1.389495e+08,2.762970e+38,4.103652e+11,4.440514e-16,2.025215e+93,1.582855e+93,-1.338702e+50,-3.506419e+51
1.757511e+08,3.494757e+38,5.190525e+11,3.510689e-16,3.240058e+93,2.532344e+93,-2.141734e+50,-5.609776e+51
2.222996e+08,4.420362e+38,6.565263e+11,2.775566e-16,5.183634e+93,4.051393e+93,-3.426473e+50,-8.974849e+51
2.811769e+08,5.591118e+38,8.304107e+11,2.194375e-16,8.293083e+93,6.481657e+93,-5.481872e+50,-1.435849e+52
3.556480e+08,7.071954e+38,1.050349e+12,1.734882e-16,1.326776e+94,1.036974e+94,-8.770221e+50,-2.297156e+52
4.498433e+08,8.944998e+38,1.328540e+12,1.371605e-16,2.122654e+94,1.659011e+94,-1.403111e+51,-3.675124e+52
5.689866e+08,1.131413e+39,1.680411e+12,1.084397e-16,3.395947e+94,2.654183e+94,-2.244780e+51,-5.879680e+52
7.196857e+08,1.431073e+39,2.125476e+12,8.573290e-17,5.433035e+94,4.246319e+94,-3.591331e+51,-9.406657e+52
9.102982e+08,1.810101e+39,2.688419e+12,6.778080e-17,8.692089e+94,6.793510e+94,-5.745622e+51,-1.504932e+53
1.151395e+09,2.289515e+39,3.400461e+12,5.358779e-17,1.390611e+95,1.086866e+95,-9.192184e+51,-2.407679e+53
1.456348e+09,2.895905e+39,4.301091e+12,4.236674e-17,2.224782e+95,1.738831e+95,-1.470620e+52,-3.851946e+53
1.842070e+09,3.662901e+39,5.440258e+12,3.349533e-17,3.559337e+95,2.781885e+95,-2.352783e+52,-6.162570e+53
2.329952e+09,4.633039e+39,6.881138e+12,2.648155e-17,5.694436e+95,4.450622e+95,-3.764121e+52,-9.859241e+53
2.947052e+09,5.860124e+39,8.703644e+12,2.093643e-17,9.110292e+95,7.120367e+95,-6.022062e+52,-1.577339e+54
3.727594e+09,7.412208e+39,1.100885e+13,1.655243e-17,1.457518e+96,1.139158e+96,-9.634448e+52,-2.523520e+54
4.714866e+09,9.375370e+39,1.392460e+13,1.308642e-17,2.331823e+96,1.822492e+96,-1.541376e+53,-4.037275e+54
5.963623e+09,1.185849e+40,1.761260e+13,1.034618e-17,3.730587e+96,2.915730e+96,-2.465983e+53,-6.459070e+54
7.543120e+09,1.499927e+40,2.227739e+13,8.179737e-18,5.968413e+96,4.664756e+96,-3.945225e+53,-1.033360e+55
9.540955e+09,1.897190e+40,2.817768e+13,6.466935e-18,9.548617e+96,7.462950e+96,-6.311802e+53,-1.653230e+55
1.206793e+10,2.399671e+40,3.564068e+13,5.112787e-18,1.527644e+97,1.193967e+97,-1.009799e+54,-2.644934e+55
1.526418e+10,3.035236e+40,4.508030e+13,4.042192e-18,2.444014e+97,1.910178e+97,-1.615536e+54,-4.231521e+55
1.930698e+10,3.839135e+40,5.702006e+13,3.195774e-18,3.910078e+97,3.056015e+97,-2.584629e+54,-6.769836e+55
2.442053e+10,4.855949e+40,7.212212e+13,2.526593e-18,6.255572e+97,4.889192e+97,-4.135042e+54,-1.083078e+56
3.088844e+10,6.142073e+40,9.122403e+13,1.997535e-18,1.000803e+98,7.822016e+97,-6.615483e+54,-1.732772e+56
3.906940e+10,7.768833e+40,1.153852e+14,1.579260e-18,1.601144e+98,1.251412e+98,-1.058384e+55,-2.772190e+56
4.941713e+10,9.826449e+40,1.459456e+14,1.248570e-18,2.561604e+98,2.002082e+98,-1.693265e+55,-4.435113e+56
6.250552e+10,1.242903e+41,1.846000e+14,9.871246e-19,4.098204e+98,3.203049e+98,-2.708984e+55,-7.095554e+56
7.906043e+10,1.572093e+41,2.334923e+14,7.804250e-19,6.556547e+98,5.124426e+98,-4.333992e+55,-1.135188e+57
1.000000e+11,1.988470e+41,2.953339e+14,6.170074e-19,1.048955e+99,8.198358e+98,-6.933774e+55,-1.816141e+57
